,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-02-20,22633.6854,14743.979013529524,25897.761976128222,22633.6854,22633.6854,-2143.2754027645933,-2143.2754027645933,-2143.2754027645933,-2143.2754027645933,-2143.2754027645933,-2143.2754027645933,0.0,0.0,0.0,20490.409997235405
1,2024-02-21,21656.408391999998,13208.249375872678,24531.623758310438,21656.408391999998,21656.408391999998,-3130.8470565410535,-3130.8470565410535,-3130.8470565410535,-3130.8470565410535,-3130.8470565410535,-3130.8470565410535,0.0,0.0,0.0,18525.561335458944
2,2024-02-22,20679.13138394082,14673.422068572478,26830.657112696976,20679.13138394082,20679.13138394082,-68.58740688155248,-68.58740688155248,-68.58740688155248,-68.58740688155248,-68.58740688155248,-68.58740688155248,0.0,0.0,0.0,20610.543977059267
3,2024-02-23,19701.854375880357,19702.69016106942,32082.13614750415,19701.854375880357,19701.854375880357,6365.5255019187925,6365.5255019187925,6365.5255019187925,6365.5255019187925,6365.5255019187925,6365.5255019187925,0.0,0.0,0.0,26067.37987779915
4,2024-02-24,18724.57736776946,13516.637542202214,25238.694450171297,18724.57736776946,18724.57736776946,778.6073944739944,778.6073944739944,778.6073944739944,778.6073944739944,778.6073944739944,778.6073944739944,0.0,0.0,0.0,19503.184762243454
5,2024-02-25,17747.30035965572,9476.606097169974,21576.315035727614,17747.30035965572,17747.30035965572,-2242.2617117073823,-2242.2617117073823,-2242.2617117073823,-2242.2617117073823,-2242.2617117073823,-2242.2617117073823,0.0,0.0,0.0,15505.038647948339
6,2024-02-26,16770.02335158137,11170.188485756538,23215.78124458801,16770.02335158137,16770.02335158137,440.8386814875595,440.8386814875595,440.8386814875595,440.8386814875595,440.8386814875595,440.8386814875595,0.0,0.0,0.0,17210.86203306893
7,2024-02-27,15792.74634345117,7835.7851909629235,19505.90097509454,15792.74634345117,15792.74634345117,-2143.2754027640535,-2143.2754027640535,-2143.2754027640535,-2143.2754027640535,-2143.2754027640535,-2143.2754027640535,0.0,0.0,0.0,13649.470940687117
8,2024-02-28,14815.469335289628,6097.0302682400325,17266.910683999835,14815.469335289628,14815.469335289628,-3130.847056541503,-3130.847056541503,-3130.847056541503,-3130.847056541503,-3130.847056541503,-3130.847056541503,0.0,0.0,0.0,11684.622278748126
9,2024-02-29,13838.192327022982,7766.48693615906,19633.010275850505,13838.192327022982,13838.192327022982,-68.58740687565631,-68.58740687565631,-68.58740687565631,-68.58740687565631,-68.58740687565631,-68.58740687565631,0.0,0.0,0.0,13769.604920147325
10,2024-03-01,12860.915331947415,13133.881023108595,25302.029116183472,12860.915331947415,12860.915331947415,6365.525501922216,6365.525501922216,6365.525501922216,6365.525501922216,6365.525501922216,6365.525501922216,0.0,0.0,0.0,19226.44083386963
11,2024-03-02,11883.63833681867,6810.216987801757,18623.52148212539,11883.63833681867,11883.63833681867,778.6073944963997,778.6073944963997,778.6073944963997,778.6073944963997,778.6073944963997,778.6073944963997,0.0,0.0,0.0,12662.24573131507
12,2024-03-03,10906.361341604772,2644.1592148619907,14437.173903772824,10906.361341604772,10906.361341604772,-2242.2617117087416,-2242.2617117087416,-2242.2617117087416,-2242.2617117087416,-2242.2617117087416,-2242.2617117087416,0.0,0.0,0.0,8664.09962989603
13,2024-03-04,9929.084346439146,4414.35962317437,16859.353774288258,9929.084346439146,9929.084346439146,440.8386814838084,440.8386814838084,440.8386814838084,440.8386814838084,440.8386814838084,440.8386814838084,0.0,0.0,0.0,10369.923027922954
14,2024-03-05,8951.807351199284,953.4271662553978,13051.453366883701,8951.807351199284,8951.807351199284,-2143.2754027726505,-2143.2754027726505,-2143.2754027726505,-2143.2754027726505,-2143.2754027726505,-2143.2754027726505,0.0,0.0,0.0,6808.531948426634
15,2024-03-06,7974.530355946993,-1167.6411577412296,10984.224922568827,7974.530355946993,7974.530355946993,-3130.84705653895,-3130.84705653895,-3130.84705653895,-3130.84705653895,-3130.84705653895,-3130.84705653895,0.0,0.0,0.0,4843.683299408043
16,2024-03-07,6997.2533607212745,1319.5375282132666,12866.298681651635,6997.2533607212745,6997.2533607212745,-68.58740690020016,-68.58740690020016,-68.58740690020016,-68.58740690020016,-68.58740690020016,-68.58740690020016,0.0,0.0,0.0,6928.665953821074
17,2024-03-08,6019.976365395973,6353.711174211877,18339.4983186573,6019.976365395973,6019.976365395973,6365.525501921082,6365.525501921082,6365.525501921082,6365.525501921082,6365.525501921082,6365.525501921082,0.0,0.0,0.0,12385.501867317054
18,2024-03-09,5042.699370187621,132.5709680912627,12118.53432771353,5042.699370187621,5042.699370187621,778.6073944866718,778.6073944866718,778.6073944866718,778.6073944866718,778.6073944866718,778.6073944866718,0.0,0.0,0.0,5821.306764674293
19,2024-03-10,4065.4223748713957,-3957.2617255007954,7661.808438229535,4065.4223748713957,4065.4223748713957,-2242.2617117027817,-2242.2617117027817,-2242.2617117027817,-2242.2617117027817,-2242.2617117027817,-2242.2617117027817,0.0,0.0,0.0,1823.160663168614
20,2024-03-11,3088.1453796435644,-2597.1532439167486,9668.777894605759,3088.1453796435644,3088.1453796435644,440.83868148665414,440.83868148665414,440.83868148665414,440.83868148665414,440.83868148665414,440.83868148665414,0.0,0.0,0.0,3528.9840611302184
21,2024-03-12,2110.868384415733,-5990.71817804526,5938.502910444942,2110.868384415733,2110.868384415733,-2143.2754027721107,-2143.2754027721107,-2143.2754027721107,-2143.2754027721107,-2143.2754027721107,-2143.2754027721107,0.0,0.0,0.0,-32.40701835637765
22,2024-03-13,1133.5913891879054,-7809.294723219375,4059.116044600313,1133.5913891879054,1133.5913891879054,-3130.847056539667,-3130.847056539667,-3130.847056539667,-3130.847056539667,-3130.847056539667,-3130.847056539667,0.0,0.0,0.0,-1997.2556673517615
23,2024-03-14,156.3143939600741,-5246.036728364146,5864.282745758313,156.3143939600741,156.3143939600741,-68.587406894304,-68.587406894304,-68.587406894304,-68.587406894304,-68.587406894304,-68.587406894304,0.0,0.0,0.0,87.72698706577012
24,2024-03-15,-820.9626012677537,-126.42941201053097,11329.615547887224,-820.9626012677537,-820.9626012677537,6365.525501924506,6365.525501924506,6365.525501924506,6365.525501924506,6365.525501924506,6365.525501924506,0.0,0.0,0.0,5544.562900656752
25,2024-03-16,-1798.239596495585,-6929.602641048545,5241.857808327811,-1798.2396065064559,-1798.239586349912,778.6073944901242,778.6073944901242,778.6073944901242,778.6073944901242,778.6073944901242,778.6073944901242,0.0,0.0,0.0,-1019.6322020054607
26,2024-03-17,-2775.5165917234094,-10825.33988697817,888.8609042261338,-2775.5166225914018,-2775.516561210936,-2242.2617117114596,-2242.2617117114596,-2242.2617117114596,-2242.2617117114596,-2242.2617117114596,-2242.2617117114596,0.0,0.0,0.0,-5017.778303434869
27,2024-03-18,-3752.7935869512407,-8943.693101655948,2832.913437453981,-3752.7936485895107,-3752.7935315828163,440.83868148209825,440.83868148209825,440.83868148209825,440.83868148209825,440.83868148209825,440.83868148209825,0.0,0.0,0.0,-3311.9549054691424
28,2024-03-19,-4730.070582179072,-12878.010650556776,-606.273904806747,-4730.070678733292,-4730.070493157424,-2143.2754027761393,-2143.2754027761393,-2143.2754027761393,-2143.2754027761393,-2143.2754027761393,-2143.2754027761393,0.0,0.0,0.0,-6873.345984955211
29,2024-03-20,-5707.347577406899,-14817.632380672834,-2865.223490105421,-5707.347711891968,-5707.347452279484,-3130.847056540385,-3130.847056540385,-3130.847056540385,-3130.847056540385,-3130.847056540385,-3130.847056540385,0.0,0.0,0.0,-8838.194633947285
