,trip_id,bike_id,trip_duration,trip_start_time,trip_end_time,from_station,from_station_id,from_station_mode,from_lat,from_long,to_station,to_station_id,to_station_mode,to_lat,to_long
21059,20240226000,325000,,2024-02-20 23:55:03,,Tullastraße / Zähringer Straße (FreloPlus),3873,station,48.01903,7.857215,,,,,
20353,20240226001,325002,,2024-02-20 23:55:03,,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,,,,,
17644,20240226002,325006,0 days 03:50:00,2024-02-20 11:55:03,2024-02-20 15:45:03,BIKE 325006,0,floating,48.035831,7.807582,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
17722,20240226003,325006,0 days 00:15:00,2024-02-20 22:15:05,2024-02-20 22:30:05,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Studentendorf Vauban (FreloPlus),3699.0,station,47.9761,7.8284
17740,20240226004,325006,,2024-02-20 23:55:03,,Studentendorf Vauban (FreloPlus),3699,station,47.9761,7.8284,,,,,
36310,20240226005,325009,,2024-02-20 22:35:03,,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,,,,,
44849,20240226006,32501,0 days 00:15:01,2024-02-20 21:05:05,2024-02-20 21:20:06,Lorettobad ,3740,station,47.984584,7.840984,Hauptbahnhof,3691.0,station,47.99743,7.8425
44872,20240226007,32501,0 days 00:40:00,2024-02-20 23:10:04,2024-02-20 23:50:04,Hauptbahnhof,3691,station,47.99743,7.8425,Laßbergstraße (FreloPlus),3737.0,station,47.98464,7.89354
44874,20240226008,32501,,2024-02-20 23:55:03,,Laßbergstraße (FreloPlus),3737,station,47.98464,7.89354,,,,,
21354,20240226009,325011,0 days 02:40:00,2024-02-20 13:05:03,2024-02-20 15:45:03,BIKE 325011,0,floating,48.035773,7.807632,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
21355,20240226010,325011,0 days 00:15:02,2024-02-20 15:45:03,2024-02-20 16:00:05,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Rathaus im Stühlinger (FreloPlus),3748.0,station,47.99987,7.83207
21451,20240226011,325011,,2024-02-20 23:55:03,,Rathaus im Stühlinger (FreloPlus),3748,station,47.99987,7.83207,,,,,
42852,20240226012,325016,,2024-02-20 23:55:03,,Berliner Allee,3677,station,48.00751,7.8284,,,,,
30005,20240226013,325018,,2024-02-20 23:55:03,,Munzinger Straße (FreloPlus),3686,station,47.98821,7.79626,,,,,
18169,20240226014,325019,,2024-02-20 23:55:03,,Alter Wiehrebahnhof (FreloPlus),3871,station,47.985014,7.854023,,,,,
29620,20240226015,325023,0 days 00:14:58,2024-02-20 15:25:05,2024-02-20 15:40:03,Albertstraße/Institutsviertel,3724,station,48.000858,7.849587,Holzmarkt,3697.0,station,47.991982,7.850421
29629,20240226016,325023,0 days 00:14:59,2024-02-20 16:20:05,2024-02-20 16:35:04,Holzmarkt,3697,station,47.991982,7.850421,Schwarzwaldstraße/Musikhochschule,3660.0,station,47.988072,7.873674
29702,20240226017,325023,0 days 00:25:01,2024-02-20 22:35:03,2024-02-20 23:00:04,Schwarzwaldstraße/Musikhochschule,3660,station,47.988072,7.873674,Munzinger Straße (FreloPlus),3686.0,station,47.98821,7.79626
29714,20240226018,325023,,2024-02-20 23:55:03,,Munzinger Straße (FreloPlus),3686,station,47.98821,7.79626,,,,,
41993,20240226019,325025,0 days 00:54:58,2024-02-20 11:15:06,2024-02-20 12:10:04,Hauptstraße,3728,station,48.007374,7.85957,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
42087,20240226020,325025,-1 days +16:49:58,2024-02-20 20:30:06,2024-02-20 13:20:04,StuSie / Sundgauallee,36529,station,48.007116,7.819219,Killianstraße,3656.0,station,48.005842,7.834094
42048,20240226021,325025,0 days 00:14:57,2024-02-20 16:50:06,2024-02-20 17:05:03,Killianstraße,3656,station,48.005842,7.834094,Güterhallenstraße,3693.0,station,48.01267,7.84964
42104,20240226022,325025,-1 days +22:29:59,2024-02-20 22:10:05,2024-02-20 20:40:04,Güterhallenstraße,3693,station,48.01267,7.84964,Bahnhof Messe/Universität,3676.0,station,48.012852,7.8324
42100,20240226023,325025,0 days 00:50:02,2024-02-20 21:40:03,2024-02-20 22:30:05,Bahnhof Messe/Universität,3676,station,48.012852,7.8324,Westbad,3675.0,station,48.01164,7.82282
42122,20240226024,325025,,2024-02-20 23:55:03,,Westbad,3675,station,48.01164,7.82282,,,,,
6813,20240226025,32503,0 days 00:05:00,2024-02-20 12:45:03,2024-02-20 12:50:03,Holzmarkt,3697,station,47.991982,7.850421,Rempartstraße/Mensa,3749.0,station,47.99291,7.84702
6821,20240226026,32503,0 days 00:15:02,2024-02-20 13:25:03,2024-02-20 13:40:05,Rempartstraße/Mensa,3749,station,47.99291,7.84702,Paula-Modersohn-Platz,3745.0,station,47.973806,7.827925
6831,20240226027,32503,0 days 00:25:02,2024-02-20 14:25:03,2024-02-20 14:50:05,Paula-Modersohn-Platz,3745,station,47.973806,7.827925,Maria-Hilf-Kirche (FreloPlus),3738.0,station,47.988284,7.864905
6842,20240226028,32503,0 days 00:25:00,2024-02-20 15:40:03,2024-02-20 16:05:03,Maria-Hilf-Kirche (FreloPlus),3738,station,47.988284,7.864905,Tullastraße / Zähringer Straße (FreloPlus),3873.0,station,48.01903,7.857215
6848,20240226029,32503,0 days 00:14:58,2024-02-20 16:30:05,2024-02-20 16:45:03,Tullastraße / Zähringer Straße (FreloPlus),3873,station,48.01903,7.857215,Tullastraße/badenova,3734.0,station,48.02793,7.84559
6853,20240226030,32503,0 days 00:40:02,2024-02-20 17:05:03,2024-02-20 17:45:05,Tullastraße/badenova,3734,station,48.02793,7.84559,Gundelfingen - Nägelesee,36532.0,station,48.047111,7.870771
6928,20240226031,32503,,2024-02-20 23:55:03,,Gundelfingen - Nägelesee,36532,station,48.047111,7.870771,,,,,
15213,20240226032,325032,0 days 00:20:01,2024-02-20 20:50:03,2024-02-20 21:10:04,BIKE 325032,0,floating,48.009378,7.826308,Rathaus im Stühlinger (FreloPlus),3748.0,station,47.99987,7.83207
15247,20240226033,325032,,2024-02-20 23:55:03,,Rathaus im Stühlinger (FreloPlus),3748,station,47.99987,7.83207,,,,,
28671,20240226034,325042,0 days 00:35:00,2024-02-20 14:50:05,2024-02-20 15:25:05,Lorettostraße,3741,station,47.984648,7.847861,BIKE 325042,0.0,floating,47.978124,7.815578
28774,20240226035,325042,,2024-02-20 23:55:03,,BIKE 325042,0,floating,47.978116,7.815521,,,,,
35385,20240226036,325043,0 days 00:05:00,2024-02-20 12:45:03,2024-02-20 12:50:03,Paula-Modersohn-Platz,3745,station,47.973806,7.827925,Innsbrucker Straße,3689.0,station,47.97616,7.818747
35387,20240226037,325043,0 days 00:25:00,2024-02-20 12:55:04,2024-02-20 13:20:04,Innsbrucker Straße,3689,station,47.97616,7.818747,Madisonallee/Technische Fakultät ,3694.0,station,48.012112,7.835758
35388,20240226038,325043,0 days 00:54:59,2024-02-20 13:20:04,2024-02-20 14:15:03,Madisonallee/Technische Fakultät ,3694,station,48.012112,7.835758,Westbad,3675.0,station,48.01164,7.82282
35420,20240226039,325043,0 days 00:14:57,2024-02-20 16:50:06,2024-02-20 17:05:03,Westbad,3675,station,48.01164,7.82282,Mühle,36512.0,station,47.995083,7.825075
35422,20240226040,325043,0 days 00:15:00,2024-02-20 17:10:04,2024-02-20 17:25:04,Mühle,36512,station,47.995083,7.825075,Fahnenbergplatz,3725.0,station,47.998016,7.848012
35425,20240226041,325043,0 days 00:05:00,2024-02-20 17:35:04,2024-02-20 17:40:04,Fahnenbergplatz,3725,station,47.998016,7.848012,Albertstraße/Institutsviertel,3724.0,station,48.000858,7.849587
35431,20240226042,325043,0 days 00:15:03,2024-02-20 18:05:03,2024-02-20 18:20:06,Albertstraße/Institutsviertel,3724,station,48.000858,7.849587,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
35435,20240226043,325043,0 days 00:20:01,2024-02-20 18:35:03,2024-02-20 18:55:04,StuSie / Sundgauallee,36529,station,48.007116,7.819219,Engelbergerstraße,3658.0,station,47.997058,7.834818
35496,20240226044,325043,,2024-02-20 23:55:03,,Engelbergerstraße,3658,station,47.997058,7.834818,,,,,
22021,20240226045,325050,0 days 00:25:01,2024-02-20 12:45:03,2024-02-20 13:10:04,Herrmann-Herder-Straße,3726,station,48.002664,7.851253,BIKE 325050,0.0,floating,48.006533,7.818768
22022,20240226046,325050,0 days 00:04:59,2024-02-20 13:10:04,2024-02-20 13:15:03,BIKE 325050,0,floating,48.006533,7.818768,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
22047,20240226047,325050,0 days 00:10:02,2024-02-20 15:15:03,2024-02-20 15:25:05,StuSie / Sundgauallee,36529,station,48.007116,7.819219,Paduaallee,3680.0,station,48.013762,7.80746
22150,20240226048,325050,,2024-02-20 23:55:03,,Paduaallee,3680,station,48.013762,7.80746,,,,,
15102,20240226049,325052,,2024-02-20 23:55:03,,BIKE 325052,0,floating,47.995231,7.807112,,,,,
30429,20240226050,325053,0 days 00:15:00,2024-02-20 11:50:03,2024-02-20 12:05:03,Hochschule für Musik,3739,station,47.989604,7.87187,Hauptbahnhof West,3698.0,station,47.99764,7.839893
30470,20240226051,325053,0 days 00:24:58,2024-02-20 15:25:05,2024-02-20 15:50:03,Hauptbahnhof West,3698,station,47.99764,7.839893,Basler Landstraße/Blumenstraße,3684.0,station,47.982453,7.802845
30568,20240226052,325053,,2024-02-20 23:55:03,,Basler Landstraße/Blumenstraße,3684,station,47.982453,7.802845,,,,,
28783,20240226053,325055,0 days 00:15:02,2024-02-20 16:05:03,2024-02-20 16:20:05,BIKE 325055,0,floating,48.003809,7.850228,Hauptbahnhof,3691.0,station,47.99743,7.8425
28788,20240226054,325055,0 days 00:15:01,2024-02-20 16:40:04,2024-02-20 16:55:05,Hauptbahnhof,3691,station,47.99743,7.8425,Mühle,36512.0,station,47.995083,7.825075
28873,20240226055,325055,,2024-02-20 23:55:03,,Mühle,36512,station,47.995083,7.825075,,,,,
43794,20240226056,325057,0 days 00:10:01,2024-02-20 17:05:03,2024-02-20 17:15:04,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Habsburgerstraße / Jacobistraße,3845.0,station,48.004991,7.855278
43809,20240226057,325057,0 days 00:09:58,2024-02-20 18:25:05,2024-02-20 18:35:03,Habsburgerstraße / Jacobistraße,3845,station,48.004991,7.855278,Ludwigstraße/Landratsamt,3727.0,station,47.999184,7.85678
43849,20240226058,325057,0 days 00:09:58,2024-02-20 22:00:07,2024-02-20 22:10:05,Ludwigstraße/Landratsamt,3727,station,47.999184,7.85678,Rempartstraße/Mensa,3749.0,station,47.99291,7.84702
43853,20240226059,325057,0 days 00:15:00,2024-02-20 22:25:03,2024-02-20 22:40:03,Rempartstraße/Mensa,3749,station,47.99291,7.84702,Güterhallenstraße,3693.0,station,48.01267,7.84964
43869,20240226060,325057,,2024-02-20 23:55:03,,Güterhallenstraße,3693,station,48.01267,7.84964,,,,,
39138,20240226061,325064,0 days 00:15:02,2024-02-20 14:35:03,2024-02-20 14:50:05,Moltkestraße,3674,station,47.995016,7.843514,Paula-Modersohn-Platz,3745.0,station,47.973806,7.827925
