,trip_id,bike_id,trip_duration,trip_start_time,trip_end_time,from_station,from_station_id,from_station_mode,from_lat,from_long,to_station,to_station_id,to_station_mode,to_lat,to_long
168368,20240221000,32500,0 days 00:49:57,2024-02-20 11:45:06,2024-02-20 12:35:03,Tullastraße/badenova,3734,station,48.02793,7.84559,Laßbergstraße (FreloPlus),3737.0,station,47.98464,7.89354
168399,20240221001,32500,0 days 00:15:01,2024-02-20 15:05:03,2024-02-20 15:20:04,Laßbergstraße (FreloPlus),3737,station,47.98464,7.89354,Schwarzwaldstraße/Musikhochschule,3660.0,station,47.988072,7.873674
168414,20240221002,32500,0 days 00:30:01,2024-02-20 16:30:05,2024-02-20 17:00:06,Schwarzwaldstraße/Musikhochschule,3660,station,47.988072,7.873674,Rempartstraße/Mensa,3749.0,station,47.99291,7.84702
168685,20240221003,32500,-1 days +00:24:58,2024-02-21 17:00:06,2024-02-20 17:25:04,Rempartstraße/Mensa,3749,station,47.99291,7.84702,Schwabentor,3732.0,station,47.992394,7.854083
168511,20240221004,32500,0 days 00:20:04,2024-02-21 01:20:03,2024-02-21 01:40:07,Schwabentor,3732,station,47.992394,7.854083,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
168761,20240221005,32500,-1 days +09:10:00,2024-02-21 23:55:03,2024-02-21 09:05:03,StuSie / Sundgauallee,36529,station,48.007116,7.819219,Hauptbahnhof,3691.0,station,47.99743,7.8425
168651,20240221006,32500,0 days 00:15:00,2024-02-21 13:55:03,2024-02-21 14:10:03,Hauptbahnhof,3691,station,47.99743,7.8425,Engelbergerstraße,3658.0,station,47.997058,7.834818
168683,20240221007,32500,,2024-02-21 16:45:05,,Engelbergerstraße,3658,station,47.997058,7.834818,,,,,
61453,20240221008,325000,,2024-02-21 23:55:03,,Tullastraße / Zähringer Straße (FreloPlus),3873,station,48.01903,7.857215,,,,,
59346,20240221009,325002,,2024-02-21 23:55:03,,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,,,,,
155755,20240221010,325005,0 days 04:50:01,2024-02-21 11:10:04,2024-02-21 16:00:05,BIKE 325005,0,floating,48.035831,7.807889,Rathaus im Stühlinger (FreloPlus),3748.0,station,47.99987,7.83207
155851,20240221011,325005,,2024-02-21 23:55:03,,Rathaus im Stühlinger (FreloPlus),3748,station,47.99987,7.83207,,,,,
51366,20240221012,325006,0 days 03:50:00,2024-02-20 11:55:03,2024-02-20 15:45:03,BIKE 325006,0,floating,48.035831,7.807582,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
51444,20240221013,325006,0 days 00:15:00,2024-02-20 22:15:05,2024-02-20 22:30:05,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Studentendorf Vauban (FreloPlus),3699.0,station,47.9761,7.8284
51750,20240221014,325006,,2024-02-21 23:55:03,,Studentendorf Vauban (FreloPlus),3699,station,47.9761,7.8284,,,,,
105782,20240221015,325009,0 days 01:35:00,2024-02-20 22:35:03,2024-02-21 00:10:03,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Händelstraße (FreloPlus),3730.0,station,48.01205,7.854987
106068,20240221016,325009,,2024-02-21 23:55:03,,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,,,,,
130868,20240221017,32501,0 days 00:15:01,2024-02-20 21:05:05,2024-02-20 21:20:06,Lorettobad ,3740,station,47.984584,7.840984,Hauptbahnhof,3691.0,station,47.99743,7.8425
130891,20240221018,32501,0 days 00:40:00,2024-02-20 23:10:04,2024-02-20 23:50:04,Hauptbahnhof,3691,station,47.99743,7.8425,Laßbergstraße (FreloPlus),3737.0,station,47.98464,7.89354
130975,20240221019,32501,0 days 00:14:56,2024-02-21 06:45:08,2024-02-21 07:00:04,Laßbergstraße (FreloPlus),3737,station,47.98464,7.89354,Sandfangweg/Uni-Sportzentrum,3735.0,station,47.991531,7.879938
131003,20240221020,32501,0 days 00:15:00,2024-02-21 09:15:05,2024-02-21 09:30:05,Sandfangweg/Uni-Sportzentrum,3735,station,47.991531,7.879938,Fahnenbergplatz,3725.0,station,47.998016,7.848012
131005,20240221021,32501,0 days 00:10:01,2024-02-21 09:35:04,2024-02-21 09:45:05,Fahnenbergplatz,3725,station,47.998016,7.848012,Hauptbahnhof West,3698.0,station,47.99764,7.839893
131021,20240221022,32501,0 days 00:15:00,2024-02-21 11:00:05,2024-02-21 11:15:05,Hauptbahnhof West,3698,station,47.99764,7.839893,Basler Landstraße/Blumenstraße,3684.0,station,47.982453,7.802845
131174,20240221023,32501,,2024-02-21 23:55:03,,Basler Landstraße/Blumenstraße,3684,station,47.982453,7.802845,,,,,
147343,20240221024,325010,,2024-02-21 23:55:03,,Betzenhauser Torplatz,3870,station,48.010611,7.811966,,,,,
62312,20240221025,325011,0 days 02:40:00,2024-02-20 13:05:03,2024-02-20 15:45:03,BIKE 325011,0,floating,48.035773,7.807632,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
62313,20240221026,325011,0 days 00:15:02,2024-02-20 15:45:03,2024-02-20 16:00:05,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Rathaus im Stühlinger (FreloPlus),3748.0,station,47.99987,7.83207
62688,20240221027,325011,-1 days +08:00:01,2024-02-21 23:55:03,2024-02-21 07:55:04,Rathaus im Stühlinger (FreloPlus),3748,station,47.99987,7.83207,Händelstraße (FreloPlus),3730.0,station,48.01205,7.854987
62600,20240221028,325011,,2024-02-21 16:10:03,,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,,,,,
143545,20240221029,325014,,2024-02-21 07:40:05,,BIKE 325014,0,floating,48.035724,7.807898,,,,,
