,trip_id,bike_id,trip_duration,trip_start_time,trip_end_time,from_station,from_station_id,from_station_mode,from_lat,from_long,to_station,to_station_id,to_station_mode,to_lat,to_long
1118851,20240304000,32500,0 days 00:49:57,2024-02-20 11:45:06,2024-02-20 12:35:03,Tullastraße/badenova,3734,station,48.02793,7.84559,Laßbergstraße (FreloPlus),3737.0,station,47.98464,7.89354
1118882,20240304001,32500,0 days 00:15:01,2024-02-20 15:05:03,2024-02-20 15:20:04,Laßbergstraße (FreloPlus),3737,station,47.98464,7.89354,Schwarzwaldstraße/Musikhochschule,3660.0,station,47.988072,7.873674
1118897,20240304002,32500,0 days 00:30:01,2024-02-20 16:30:05,2024-02-20 17:00:06,Schwarzwaldstraße/Musikhochschule,3660,station,47.988072,7.873674,Rempartstraße/Mensa,3749.0,station,47.99291,7.84702
1119168,20240304003,32500,-1 days +00:24:58,2024-02-21 17:00:06,2024-02-20 17:25:04,Rempartstraße/Mensa,3749,station,47.99291,7.84702,Schwabentor,3732.0,station,47.992394,7.854083
1118994,20240304004,32500,0 days 00:20:04,2024-02-21 01:20:03,2024-02-21 01:40:07,Schwabentor,3732,station,47.992394,7.854083,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
1119386,20240304005,32500,-10 days +23:54:59,2024-03-01 09:10:04,2024-02-21 09:05:03,StuSie / Sundgauallee,36529,station,48.007116,7.819219,Hauptbahnhof,3691.0,station,47.99743,7.8425
1119134,20240304006,32500,0 days 00:15:00,2024-02-21 13:55:03,2024-02-21 14:10:03,Hauptbahnhof,3691,station,47.99743,7.8425,Engelbergerstraße,3658.0,station,47.997058,7.834818
1119166,20240304007,32500,7 days 17:45:17,2024-02-21 16:45:05,2024-02-29 10:30:22,Engelbergerstraße,3658,station,47.997058,7.834818,Haslach Bad,3682.0,station,47.98988,7.82326
1119377,20240304008,32500,0 days 21:49:13,2024-02-29 10:35:50,2024-03-01 08:25:03,Haslach Bad,3682,station,47.98988,7.82326,Bahnhof Messe/Universität,3676.0,station,48.012852,7.8324
1119385,20240304009,32500,0 days 00:30:03,2024-03-01 09:00:07,2024-03-01 09:30:10,Bahnhof Messe/Universität,3676,station,48.012852,7.8324,Wiwilibrücke,3846.0,station,47.995206,7.84081
1119698,20240304010,32500,-2 days +20:44:59,2024-03-02 13:40:04,2024-03-01 10:25:03,Wiwilibrücke,3846,station,47.995206,7.84081,Lorettobad ,3740.0,station,47.984584,7.840984
1119398,20240304011,32500,0 days 00:15:00,2024-03-01 10:35:06,2024-03-01 10:50:06,Lorettobad ,3740,station,47.984584,7.840984,Albertstraße/Institutsviertel,3724.0,station,48.000858,7.849587
1119404,20240304012,32500,0 days 00:09:59,2024-03-01 11:15:05,2024-03-01 11:25:04,Albertstraße/Institutsviertel,3724,station,48.000858,7.849587,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
1119469,20240304013,32500,0 days 00:30:01,2024-03-01 16:45:05,2024-03-01 17:15:06,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Frelo Event-Station / Europa-Park Stadion,36531.0,station,48.020013,7.82954
1119522,20240304014,32500,0 days 00:40:01,2024-03-01 21:35:03,2024-03-01 22:15:04,Frelo Event-Station / Europa-Park Stadion,36531,station,48.020013,7.82954,Zita-Kaiser-Straße,36515.0,station,48.014932,7.850305
1119948,20240304015,32500,-2 days +23:24:59,2024-03-03 10:45:05,2024-03-02 10:10:04,Zita-Kaiser-Straße,36515,station,48.014932,7.850305,Händelstraße (FreloPlus),3730.0,station,48.01205,7.854987
1119667,20240304016,32500,0 days 00:25:04,2024-03-02 10:25:03,2024-03-02 10:50:07,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,Dorfbrunnen (FreloPlus),3683.0,station,47.991031,7.815472
1119692,20240304017,32500,0 days 01:04:58,2024-03-02 12:50:05,2024-03-02 13:55:03,Dorfbrunnen (FreloPlus),3683,station,47.991031,7.815472,Killianstraße,3656.0,station,48.005842,7.834094
1119777,20240304018,32500,0 days 14:35:06,2024-03-02 20:25:03,2024-03-03 11:00:09,Killianstraße,3656,station,48.005842,7.834094,Ludwigstraße/Landratsamt,3727.0,station,47.999184,7.85678
1119991,20240304019,32500,0 days 00:14:56,2024-03-03 14:30:08,2024-03-03 14:45:04,Ludwigstraße/Landratsamt,3727,station,47.999184,7.85678,Holzmarkt,3697.0,station,47.991982,7.850421
1120251,20240304020,32500,0 days 00:10:01,2024-03-04 12:20:03,2024-03-04 12:30:04,Holzmarkt,3697,station,47.991982,7.850421,Herrmann-Herder-Straße,3726.0,station,48.002664,7.851253
1120257,20240304021,32500,0 days 00:05:05,2024-03-04 12:55:03,2024-03-04 13:00:08,Herrmann-Herder-Straße,3726,station,48.002664,7.851253,Habsburgerstraße / Jacobistraße,3845.0,station,48.004991,7.855278
1120389,20240304022,32500,,2024-03-04 23:55:03,,Habsburgerstraße / Jacobistraße,3845,station,48.004991,7.855278,,,,,
404006,20240304023,325000,0 days 00:24:59,2024-02-25 09:40:04,2024-02-25 10:05:03,Tullastraße / Zähringer Straße (FreloPlus),3873,station,48.01903,7.857215,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
404131,20240304024,325000,0 days 00:35:01,2024-02-25 20:25:05,2024-02-25 21:00:06,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Geschwister-Scholl-Platz (FreloPlus),3848.0,station,47.997234,7.795159
404568,20240304025,325000,1 days 22:04:52,2024-02-27 12:25:05,2024-02-29 10:29:57,Geschwister-Scholl-Platz (FreloPlus),3848,station,47.997234,7.795159,Munzinger Straße (FreloPlus),3686.0,station,47.98821,7.79626
404655,20240304026,325000,0 days 22:25:36,2024-02-29 10:44:28,2024-03-01 09:10:04,Munzinger Straße (FreloPlus),3686,station,47.98821,7.79626,Lehener Straße/Wentzingerstraße (FreloPlus),3659.0,station,47.999714,7.842265
