,trip_id,bike_id,trip_duration,trip_start_time,trip_end_time,from_station,from_station_id,from_station_mode,from_lat,from_long,to_station,to_station_id,to_station_mode,to_lat,to_long
1220816,20240305000,32500,0 days 00:49:57,2024-02-20 11:45:06,2024-02-20 12:35:03,Tullastraße/badenova,3734,station,48.02793,7.84559,Laßbergstraße (FreloPlus),3737.0,station,47.98464,7.89354
1220847,20240305001,32500,0 days 00:15:01,2024-02-20 15:05:03,2024-02-20 15:20:04,Laßbergstraße (FreloPlus),3737,station,47.98464,7.89354,Schwarzwaldstraße/Musikhochschule,3660.0,station,47.988072,7.873674
1220862,20240305002,32500,0 days 00:30:01,2024-02-20 16:30:05,2024-02-20 17:00:06,Schwarzwaldstraße/Musikhochschule,3660,station,47.988072,7.873674,Rempartstraße/Mensa,3749.0,station,47.99291,7.84702
1221133,20240305003,32500,-1 days +00:24:58,2024-02-21 17:00:06,2024-02-20 17:25:04,Rempartstraße/Mensa,3749,station,47.99291,7.84702,Schwabentor,3732.0,station,47.992394,7.854083
1220959,20240305004,32500,0 days 00:20:04,2024-02-21 01:20:03,2024-02-21 01:40:07,Schwabentor,3732,station,47.992394,7.854083,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
1221351,20240305005,32500,-10 days +23:54:59,2024-03-01 09:10:04,2024-02-21 09:05:03,StuSie / Sundgauallee,36529,station,48.007116,7.819219,Hauptbahnhof,3691.0,station,47.99743,7.8425
1222477,20240305006,32500,-13 days +03:55:00,2024-03-05 10:15:03,2024-02-21 14:10:03,Hauptbahnhof,3691,station,47.99743,7.8425,Engelbergerstraße,3658.0,station,47.997058,7.834818
1221131,20240305007,32500,7 days 17:45:17,2024-02-21 16:45:05,2024-02-29 10:30:22,Engelbergerstraße,3658,station,47.997058,7.834818,Haslach Bad,3682.0,station,47.98988,7.82326
1221342,20240305008,32500,0 days 21:49:13,2024-02-29 10:35:50,2024-03-01 08:25:03,Haslach Bad,3682,station,47.98988,7.82326,Bahnhof Messe/Universität,3676.0,station,48.012852,7.8324
1221350,20240305009,32500,0 days 00:30:03,2024-03-01 09:00:07,2024-03-01 09:30:10,Bahnhof Messe/Universität,3676,station,48.012852,7.8324,Wiwilibrücke,3846.0,station,47.995206,7.84081
1221663,20240305010,32500,-2 days +20:44:59,2024-03-02 13:40:04,2024-03-01 10:25:03,Wiwilibrücke,3846,station,47.995206,7.84081,Lorettobad ,3740.0,station,47.984584,7.840984
1221363,20240305011,32500,0 days 00:15:00,2024-03-01 10:35:06,2024-03-01 10:50:06,Lorettobad ,3740,station,47.984584,7.840984,Albertstraße/Institutsviertel,3724.0,station,48.000858,7.849587
1221369,20240305012,32500,0 days 00:09:59,2024-03-01 11:15:05,2024-03-01 11:25:04,Albertstraße/Institutsviertel,3724,station,48.000858,7.849587,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
1221434,20240305013,32500,0 days 00:30:01,2024-03-01 16:45:05,2024-03-01 17:15:06,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Frelo Event-Station / Europa-Park Stadion,36531.0,station,48.020013,7.82954
1221487,20240305014,32500,0 days 00:40:01,2024-03-01 21:35:03,2024-03-01 22:15:04,Frelo Event-Station / Europa-Park Stadion,36531,station,48.020013,7.82954,Zita-Kaiser-Straße,36515.0,station,48.014932,7.850305
1221913,20240305015,32500,-2 days +23:24:59,2024-03-03 10:45:05,2024-03-02 10:10:04,Zita-Kaiser-Straße,36515,station,48.014932,7.850305,Händelstraße (FreloPlus),3730.0,station,48.01205,7.854987
1221632,20240305016,32500,0 days 00:25:04,2024-03-02 10:25:03,2024-03-02 10:50:07,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,Dorfbrunnen (FreloPlus),3683.0,station,47.991031,7.815472
1221657,20240305017,32500,0 days 01:04:58,2024-03-02 12:50:05,2024-03-02 13:55:03,Dorfbrunnen (FreloPlus),3683,station,47.991031,7.815472,Killianstraße,3656.0,station,48.005842,7.834094
1221742,20240305018,32500,0 days 14:35:06,2024-03-02 20:25:03,2024-03-03 11:00:09,Killianstraße,3656,station,48.005842,7.834094,Ludwigstraße/Landratsamt,3727.0,station,47.999184,7.85678
1221956,20240305019,32500,0 days 00:14:56,2024-03-03 14:30:08,2024-03-03 14:45:04,Ludwigstraße/Landratsamt,3727,station,47.999184,7.85678,Holzmarkt,3697.0,station,47.991982,7.850421
1222216,20240305020,32500,0 days 00:10:01,2024-03-04 12:20:03,2024-03-04 12:30:04,Holzmarkt,3697,station,47.991982,7.850421,Herrmann-Herder-Straße,3726.0,station,48.002664,7.851253
1222222,20240305021,32500,0 days 00:05:05,2024-03-04 12:55:03,2024-03-04 13:00:08,Herrmann-Herder-Straße,3726,station,48.002664,7.851253,Habsburgerstraße / Jacobistraße,3845.0,station,48.004991,7.855278
1222453,20240305022,32500,0 days 02:20:01,2024-03-05 08:10:03,2024-03-05 10:30:04,Habsburgerstraße / Jacobistraße,3845,station,48.004991,7.855278,BIKE 32500,0.0,floating,47.996222,7.848548
1222479,20240305023,32500,0 days 05:00:00,2024-03-05 10:35:03,2024-03-05 15:35:03,BIKE 32500,0,floating,47.996129,7.848513,Waldkircher Straße - GüBa,36539.0,station,48.013291,7.852511
1222580,20240305024,32500,,2024-03-05 23:55:04,,Waldkircher Straße - GüBa,36539,station,48.013291,7.852511,,,,,
440548,20240305025,325000,0 days 00:24:59,2024-02-25 09:40:04,2024-02-25 10:05:03,Tullastraße / Zähringer Straße (FreloPlus),3873,station,48.01903,7.857215,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
440673,20240305026,325000,0 days 00:35:01,2024-02-25 20:25:05,2024-02-25 21:00:06,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Geschwister-Scholl-Platz (FreloPlus),3848.0,station,47.997234,7.795159
441110,20240305027,325000,1 days 22:04:52,2024-02-27 12:25:05,2024-02-29 10:29:57,Geschwister-Scholl-Platz (FreloPlus),3848,station,47.997234,7.795159,Munzinger Straße (FreloPlus),3686.0,station,47.98821,7.79626
441197,20240305028,325000,0 days 22:25:36,2024-02-29 10:44:28,2024-03-01 09:10:04,Munzinger Straße (FreloPlus),3686,station,47.98821,7.79626,Lehener Straße/Wentzingerstraße (FreloPlus),3659.0,station,47.999714,7.842265
442462,20240305029,325000,-5 days +15:34:59,2024-03-05 23:55:04,2024-03-01 15:30:03,Lehener Straße/Wentzingerstraße (FreloPlus),3659,station,47.999714,7.842265,Maria-Hilf-Kirche (FreloPlus),3738.0,station,47.988284,7.864905
441250,20240305030,325000,0 days 00:25:01,2024-03-01 16:20:04,2024-03-01 16:45:05,Maria-Hilf-Kirche (FreloPlus),3738,station,47.988284,7.864905,Fahnenbergplatz,3725.0,station,47.998016,7.848012
441257,20240305031,325000,0 days 00:25:02,2024-03-01 17:45:03,2024-03-01 18:10:05,Fahnenbergplatz,3725,station,47.998016,7.848012,BIKE 325000,0.0,floating,48.0194,7.830321
441258,20240305032,325000,0 days 00:29:58,2024-03-01 18:10:05,2024-03-01 18:40:03,BIKE 325000,0,floating,48.0194,7.830321,Engelbergerstraße,3658.0,station,47.997058,7.834818
441262,20240305033,325000,0 days 00:15:01,2024-03-01 18:55:03,2024-03-01 19:10:04,Engelbergerstraße,3658,station,47.997058,7.834818,Schwabentor,3732.0,station,47.992394,7.854083
441290,20240305034,325000,0 days 00:10:00,2024-03-01 21:25:03,2024-03-01 21:35:03,Schwabentor,3732,station,47.992394,7.854083,Hauptbahnhof,3691.0,station,47.99743,7.8425
441294,20240305035,325000,0 days 00:20:00,2024-03-01 21:50:04,2024-03-01 22:10:04,Hauptbahnhof,3691,station,47.99743,7.8425,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
442152,20240305036,325000,,2024-03-04 21:35:03,,StuSie / Sundgauallee,36529,station,48.007116,7.819219,,,,,
2073587,20240305037,325001,-9 days +19:25:00,2024-03-01 20:15:05,2024-02-22 15:40:05,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Madisonallee/Technische Fakultät ,3694.0,station,48.012112,7.835758
2072097,20240305038,325001,0 days 00:34:59,2024-02-22 16:10:06,2024-02-22 16:45:05,Madisonallee/Technische Fakultät ,3694,station,48.012112,7.835758,Tullastraße / Zähringer Straße (FreloPlus),3873.0,station,48.01903,7.857215
2072279,20240305039,325001,0 days 13:39:59,2024-02-23 07:50:04,2024-02-23 21:30:03,Tullastraße / Zähringer Straße (FreloPlus),3873,station,48.01903,7.857215,Peter-Thumb-Straße,3744.0,station,47.97998,7.83215
2072441,20240305040,325001,0 days 00:20:00,2024-02-23 22:25:03,2024-02-23 22:45:03,Peter-Thumb-Straße,3744,station,47.97998,7.83215,Güterhallenstraße,3693.0,station,48.01267,7.84964
2072660,20240305041,325001,0 days 00:29:58,2024-02-24 16:55:05,2024-02-24 17:25:03,Güterhallenstraße,3693,station,48.01267,7.84964,Händelstraße (FreloPlus),3730.0,station,48.01205,7.854987
2073385,20240305042,325001,0 days 06:40:02,2024-02-27 05:45:03,2024-02-27 12:25:05,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,Geschwister-Scholl-Platz (FreloPlus),3848.0,station,47.997234,7.795159
2074044,20240305043,325001,-3 days +19:24:56,2024-03-03 13:00:07,2024-03-01 08:25:03,Geschwister-Scholl-Platz (FreloPlus),3848,station,47.997234,7.795159,Moltkestraße,3674.0,station,47.995016,7.843514
2073497,20240305044,325001,0 days 06:49:58,2024-03-01 11:15:05,2024-03-01 18:05:03,Moltkestraße,3674,station,47.995016,7.843514,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
2073583,20240305045,325001,-1 days +23:39:59,2024-03-01 19:30:05,2024-03-01 19:10:04,StuSie / Sundgauallee,36529,station,48.007116,7.819219,Wiwilibrücke,3846.0,station,47.995206,7.84081
2073582,20240305046,325001,,2024-03-01 19:15:06,,Wiwilibrücke,3846,station,47.995206,7.84081,,,,,
424698,20240305047,325002,0 days 21:40:35,2024-02-29 10:44:28,2024-03-01 08:25:03,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,Bahnhof Zähringen,3655.0,station,48.024154,7.862944
425072,20240305048,325002,0 days 00:29:59,2024-03-02 15:30:05,2024-03-02 16:00:04,Bahnhof Zähringen,3655,station,48.024154,7.862944,Karlsplatz (FreloPlus),3874.0,station,47.996969,7.854302
425103,20240305049,325002,0 days 00:20:00,2024-03-02 18:30:05,2024-03-02 18:50:05,Karlsplatz (FreloPlus),3874,station,47.996969,7.854302,Engelbergerstraße,3658.0,station,47.997058,7.834818
425968,20240305050,325002,-3 days +00:50:01,2024-03-05 20:45:03,2024-03-02 21:35:04,Engelbergerstraße,3658,station,47.997058,7.834818,Rempartstraße/Mensa,3749.0,station,47.99291,7.84702
425149,20240305051,325002,,2024-03-02 22:45:03,,Rempartstraße/Mensa,3749,station,47.99291,7.84702,,,,,
2137300,20240305052,325004,-2 days +17:29:51,2024-03-01 17:00:06,2024-02-29 10:29:57,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Lehener Straße/Wentzingerstraße (FreloPlus),3659.0,station,47.999714,7.842265
2137196,20240305053,325004,1 days 06:35:37,2024-02-29 10:44:28,2024-03-01 17:20:05,Lehener Straße/Wentzingerstraße (FreloPlus),3659,station,47.999714,7.842265,Habsburgerstraße / Jacobistraße,3845.0,station,48.004991,7.855278
2137304,20240305054,325004,0 days 00:14:59,2024-03-01 17:35:04,2024-03-01 17:50:03,Habsburgerstraße / Jacobistraße,3845,station,48.004991,7.855278,Tullastraße / Zähringer Straße (FreloPlus),3873.0,station,48.01903,7.857215
2138495,20240305055,325004,-4 days +16:10:02,2024-03-05 23:55:04,2024-03-02 16:05:06,Tullastraße / Zähringer Straße (FreloPlus),3873,station,48.01903,7.857215,Händelstraße (FreloPlus),3730.0,station,48.01205,7.854987
2138057,20240305056,325004,,2024-03-04 11:20:04,,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,,,,,
1128940,20240305057,325005,0 days 04:50:01,2024-02-21 11:10:04,2024-02-21 16:00:05,BIKE 325005,0,floating,48.035831,7.807889,Rathaus im Stühlinger (FreloPlus),3748.0,station,47.99987,7.83207
1129763,20240305058,325005,-2 days +10:09:59,2024-02-24 14:40:05,2024-02-23 00:50:04,Rathaus im Stühlinger (FreloPlus),3748,station,47.99987,7.83207,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
1129737,20240305059,325005,0 days 00:14:58,2024-02-24 10:55:06,2024-02-24 11:10:04,StuSie / Sundgauallee,36529,station,48.007116,7.819219,Bahnhof Messe/Universität,3676.0,station,48.012852,7.8324
1129753,20240305060,325005,,2024-02-24 12:25:03,,Bahnhof Messe/Universität,3676,station,48.012852,7.8324,,,,,
369680,20240305061,325006,0 days 03:50:00,2024-02-20 11:55:03,2024-02-20 15:45:03,BIKE 325006,0,floating,48.035831,7.807582,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
371994,20240305062,325006,-11 days +04:35:02,2024-03-02 17:55:03,2024-02-20 22:30:05,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Studentendorf Vauban (FreloPlus),3699.0,station,47.9761,7.8284
370522,20240305063,325006,0 days 11:09:58,2024-02-23 14:30:06,2024-02-24 01:40:04,Studentendorf Vauban (FreloPlus),3699,station,47.9761,7.8284,Tullastraße / Zähringer Straße (FreloPlus),3873.0,station,48.01903,7.857215
371537,20240305064,325006,-2 days +06:35:00,2024-02-27 08:50:03,2024-02-25 15:25:03,Tullastraße / Zähringer Straße (FreloPlus),3873,station,48.01903,7.857215,Laßbergstraße (FreloPlus),3737.0,station,47.98464,7.89354
371362,20240305065,325006,0 days 00:44:59,2024-02-26 17:25:04,2024-02-26 18:10:03,Laßbergstraße (FreloPlus),3737,station,47.98464,7.89354,Bahnhof Zähringen,3655.0,station,48.024154,7.862944
371972,20240305066,325006,-5 days +20:20:01,2024-03-02 15:40:03,2024-02-27 12:00:04,Bahnhof Zähringen,3655,station,48.024154,7.862944,Rathaus im Stühlinger (FreloPlus),3748.0,station,47.99987,7.83207
371543,20240305067,325006,1 days 22:04:52,2024-02-27 12:25:05,2024-02-29 10:29:57,Rathaus im Stühlinger (FreloPlus),3748,station,47.99987,7.83207,Bahnhof Messe/Universität,3676.0,station,48.012852,7.8324
371630,20240305068,325006,0 days 21:40:35,2024-02-29 10:44:28,2024-03-01 08:25:03,Bahnhof Messe/Universität,3676,station,48.012852,7.8324,Blankreutestraße,36536.0,station,48.034768,7.81378
371674,20240305069,325006,0 days 00:35:01,2024-03-01 12:00:05,2024-03-01 12:35:06,Blankreutestraße,36536,station,48.034768,7.81378,Güterhallenstraße,3693.0,station,48.01267,7.84964
371724,20240305070,325006,0 days 02:09:58,2024-03-01 16:45:05,2024-03-01 18:55:03,Güterhallenstraße,3693,station,48.01267,7.84964,Händelstraße (FreloPlus),3730.0,station,48.01205,7.854987
371725,20240305071,325006,0 days 23:35:02,2024-03-01 18:55:03,2024-03-02 18:30:05,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,Dorfbrunnen (FreloPlus),3683.0,station,47.991031,7.815472
372924,20240305072,325006,,2024-03-05 23:55:04,,Dorfbrunnen (FreloPlus),3683,station,47.991031,7.815472,,,,,
2079213,20240305073,325007,1 days 22:04:52,2024-02-27 12:25:05,2024-02-29 10:29:57,Tullastraße / Zähringer Straße (FreloPlus),3873,station,48.01903,7.857215,Lehener Straße/Wentzingerstraße (FreloPlus),3659.0,station,47.999714,7.842265
