,trip_id,bike_id,trip_duration,trip_start_time,trip_end_time,from_station,from_station_id,from_station_mode,from_lat,from_long,to_station,to_station_id,to_station_mode,to_lat,to_long
1019256,20240303000,32500,0 days 00:49:57,2024-02-20 11:45:06,2024-02-20 12:35:03,Tullastraße/badenova,3734,station,48.02793,7.84559,Laßbergstraße (FreloPlus),3737.0,station,47.98464,7.89354
1019287,20240303001,32500,0 days 00:15:01,2024-02-20 15:05:03,2024-02-20 15:20:04,Laßbergstraße (FreloPlus),3737,station,47.98464,7.89354,Schwarzwaldstraße/Musikhochschule,3660.0,station,47.988072,7.873674
1019302,20240303002,32500,0 days 00:30:01,2024-02-20 16:30:05,2024-02-20 17:00:06,Schwarzwaldstraße/Musikhochschule,3660,station,47.988072,7.873674,Rempartstraße/Mensa,3749.0,station,47.99291,7.84702
1019573,20240303003,32500,-1 days +00:24:58,2024-02-21 17:00:06,2024-02-20 17:25:04,Rempartstraße/Mensa,3749,station,47.99291,7.84702,Schwabentor,3732.0,station,47.992394,7.854083
1019399,20240303004,32500,0 days 00:20:04,2024-02-21 01:20:03,2024-02-21 01:40:07,Schwabentor,3732,station,47.992394,7.854083,StuSie / Sundgauallee,36529.0,station,48.007116,7.819219
1019791,20240303005,32500,-10 days +23:54:59,2024-03-01 09:10:04,2024-02-21 09:05:03,StuSie / Sundgauallee,36529,station,48.007116,7.819219,Hauptbahnhof,3691.0,station,47.99743,7.8425
1019539,20240303006,32500,0 days 00:15:00,2024-02-21 13:55:03,2024-02-21 14:10:03,Hauptbahnhof,3691,station,47.99743,7.8425,Engelbergerstraße,3658.0,station,47.997058,7.834818
1019571,20240303007,32500,7 days 17:45:17,2024-02-21 16:45:05,2024-02-29 10:30:22,Engelbergerstraße,3658,station,47.997058,7.834818,Haslach Bad,3682.0,station,47.98988,7.82326
1019782,20240303008,32500,0 days 21:49:13,2024-02-29 10:35:50,2024-03-01 08:25:03,Haslach Bad,3682,station,47.98988,7.82326,Bahnhof Messe/Universität,3676.0,station,48.012852,7.8324
1019790,20240303009,32500,0 days 00:30:03,2024-03-01 09:00:07,2024-03-01 09:30:10,Bahnhof Messe/Universität,3676,station,48.012852,7.8324,Wiwilibrücke,3846.0,station,47.995206,7.84081
1020103,20240303010,32500,-2 days +20:44:59,2024-03-02 13:40:04,2024-03-01 10:25:03,Wiwilibrücke,3846,station,47.995206,7.84081,Lorettobad ,3740.0,station,47.984584,7.840984
1019803,20240303011,32500,0 days 00:15:00,2024-03-01 10:35:06,2024-03-01 10:50:06,Lorettobad ,3740,station,47.984584,7.840984,Albertstraße/Institutsviertel,3724.0,station,48.000858,7.849587
1019809,20240303012,32500,0 days 00:09:59,2024-03-01 11:15:05,2024-03-01 11:25:04,Albertstraße/Institutsviertel,3724,station,48.000858,7.849587,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
1019874,20240303013,32500,0 days 00:30:01,2024-03-01 16:45:05,2024-03-01 17:15:06,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Frelo Event-Station / Europa-Park Stadion,36531.0,station,48.020013,7.82954
1019927,20240303014,32500,0 days 00:40:01,2024-03-01 21:35:03,2024-03-01 22:15:04,Frelo Event-Station / Europa-Park Stadion,36531,station,48.020013,7.82954,Zita-Kaiser-Straße,36515.0,station,48.014932,7.850305
1020353,20240303015,32500,-2 days +23:24:59,2024-03-03 10:45:05,2024-03-02 10:10:04,Zita-Kaiser-Straße,36515,station,48.014932,7.850305,Händelstraße (FreloPlus),3730.0,station,48.01205,7.854987
1020072,20240303016,32500,0 days 00:25:04,2024-03-02 10:25:03,2024-03-02 10:50:07,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,Dorfbrunnen (FreloPlus),3683.0,station,47.991031,7.815472
1020097,20240303017,32500,0 days 01:04:58,2024-03-02 12:50:05,2024-03-02 13:55:03,Dorfbrunnen (FreloPlus),3683,station,47.991031,7.815472,Killianstraße,3656.0,station,48.005842,7.834094
1020182,20240303018,32500,0 days 14:35:06,2024-03-02 20:25:03,2024-03-03 11:00:09,Killianstraße,3656,station,48.005842,7.834094,Ludwigstraße/Landratsamt,3727.0,station,47.999184,7.85678
1020396,20240303019,32500,0 days 00:14:56,2024-03-03 14:30:08,2024-03-03 14:45:04,Ludwigstraße/Landratsamt,3727,station,47.999184,7.85678,Holzmarkt,3697.0,station,47.991982,7.850421
1020507,20240303020,32500,,2024-03-03 23:55:03,,Holzmarkt,3697,station,47.991982,7.850421,,,,,
368739,20240303021,325000,0 days 00:24:59,2024-02-25 09:40:04,2024-02-25 10:05:03,Tullastraße / Zähringer Straße (FreloPlus),3873,station,48.01903,7.857215,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
